Info Date, Info Title, Info Content
2019-11-28,108年7-8月期共通性載具及受捐贈機關或團體中獎獎金第1次批次匯款結果通知重複發送,108年7-8月期共通性載具及受捐贈機關或團體中獎獎金第1次批次匯款結果原於108年10月11-13日發送通知，惟因故於108年11月27日重複發送，如收到通知訊息為匯款成功者，請忽略此訊息；如收到通知訊息為匯款失敗且未曾收到匯款成功者，請再次至本平台檢視領獎設定之金融帳戶正確性。造成不便，敬請見諒。若有任何疑問，請致電客服專線0800-521-988，客服人員將竭誠為您服務。
2019-11-27,本平台預計於108年12月18日23:00至108年12月19日1:00進行服務升級，暫停各項服務,本平台預計於108年12月18日23:00至108年12月19日1:00 進行服務升級，作業期間將暫時停止營運服務，影響範圍說明如下： 分眾影響範圍一、營業人1.暫停營業人線上開立、接收雲端發票。2.暫停營業人上傳雲端發票。3.暫停營業人會員平台與整合服務平台所有連線服務。4.暫停API介面相關服務；透過API提供發票服務者也將暫停連線，請營業人於恢復連線後，確認發票相關應用服務。二、消費者1.暫停使用本平台各項服務。2.暫停各式平台雲端發票服務。3.暫停超商多媒體服務機(Kiosk)雲端發票服務（如統一超商iBon、全家便利商店FamiPort、萊爾富Life-ET、OK‧go），消費者無法使用Kiosk查詢、捐贈發票或申請手機條碼等，待本平台啟動後即恢復正常操作。停機期間消費產生之發票不受影響，營業人完成上傳後即可查詢。4.暫停使用財政部統一發票兌獎APP各項雲端發票服務，亦無法於各領獎據點兌領中獎發票。三、其他分眾使用者暫停使用本平台各項服務。系統服務升級期間若造成各位使用者之不便，還請見諒。若有任何疑問，請致電客服專線0800-521-988，客服人員將竭誠為您服務。
2019-11-25,中華郵政股份有限公司VISA金融卡可儲存雲端發票囉!!,中華郵政股份有限公司VISA金融卡載具已於108年11月23日上線，可當載具儲存雲端發票，請多加利用，增加中獎機會。
2019-11-20,本平台於108年11月22日04:00至08:00進行網路優化，暫停四大超商KIOSK雲端發票服務各類使用者登入服務、消費者服務、捐贈活動功能服務,本平台於108年11月22日04:00至08:00進行網路優化，暫停四大超商KIOSK雲端發票服務（如統一超商iBon、全家便利商店FamiPort、萊爾富Life-ET、OK‧go），消費者無法使用Kiosk查詢、捐贈發票或申請手機條碼等，待網路恢復後，即可正常操作。
2019-11-13,本平台推出會員載具歸戶新功能，趕快登入平台體驗喔！,為簡化民眾須登入各購物商家平台進行會員載具歸戶，本平台建置會員載具歸戶統一入口頁面。民眾先登入本平台，於「歸戶設定」頁面中點選「會員載具歸戶」，從統一入口頁面，搜尋欲歸戶的購物商家名稱，將該商家使用之會員載具綁定手機條碼或自然人憑證。現階段合作之會員載具發行機構有：鯨躍科技股份有限公司、東森得易購股份有限公司及東森新零售百貨股份有限公司。共提供50家購物商家使用，未來將陸續與其他會員載具發行機構合作。
2019-11-06,108年7-8月期「對獎結果通知」(未中獎)延長發送公告,1．因雲端發票使用人數日益增加， 108年7-8月期「對獎結果通知」(未中獎)信件已陸續發送中，如於本平台有設定「無論中獎與否皆發送開獎通知」者，請耐心等候。2．歡迎您登入本平台或超商多媒體服務機(KIOSK)查詢中獎發票，亦可使用統一發票兌獎APP檢視發票存摺之對獎結果。
2019-10-16,請營業人配合109年度電子發票配號作業,一、 首次年配或具年配資格之營業人，若需109年度全年每期字軌號碼區間一致，請於108/11/13(三)00:00起~108/12/03(二)18:00止，於電子發票整合服務平台(下稱：平台)提交109年度字軌號碼本數申請，申請時僅需填入開始啟用之期別，平台將自動配號到109年底。二、 具年配資格之營業人，若109年度字軌號碼無本數異動需求，平台將於108/12/04(三)00:00起~108/12/10(二) 18:00止，依108年度本數啟動年配營業人109年度字軌號碼自動配號機制。三、 具年配資格之營業人，若因資格為限購或本數修改等原因，導致108/12/10(二)18:00前仍未完成年配取號，請於108/12/11(三)00:00起~108/12/16(一)18:00止，於平台提交109年度字軌號碼本數申請。四、 具期配資格之營業人，平台於108/12/17(二)00:00進行下期電子發票字軌號碼配號。日期配號作業內容108/11/01(五)00:00~108/11/12(二)18:001.接受1081112期配號且馬上配號2.關閉1090102期取號108/11/13(三)00:00~108/12/03(二)18:001.接受1081112期配號且馬上配號2.接受109年度年配配號提交且馬上配號3.接受1090102期配號提交但不配號108/12/04(三)00:00~108/12/10(二)18:001.接受1081112期配號且馬上配號2.109年度自動年配配號3.關閉109年度年配與期配配號提交108/12/11(三)00:00~108/12/16(一)18:001.接受1081112期配號且馬上配號2.接受109年度年配配號提交且馬上配號3.接受1090102期配號提交且不配號108/12/17(二)00:00~108/12/19(四)18:001.接受1081112期配號且馬上配號2.關閉109年度年配與期配配號提交3.1090102期自動期配配號註：本時段起，年配每期配號區間不相同108/12/20(五)00:00起1.接受1081112期配號且馬上配號2.接受1090102期配號且馬上配號3.接受109年度年配配號提交且馬上配號
2019-09-20,配合108年12月1日起，中獎獎金免扣繳所得稅門檻調高至5仟元，108年7-8月期雲端發票對中四獎且於本平台設有獎金匯入金融機構帳戶者，延後至同年12月1日匯款。,自108年12月1日起，政府舉辦之獎券中獎獎金免扣繳所得稅門檻由新台幣2仟元調高至5仟元，為維謢108年7-8月期統一發票四獎中獎人之權利，該期雲端發票對中四獎且於本平台設有獎金自動匯入金融帳戶者，延後至同年12月1日匯款，其餘獎別不受影響，維持原時間匯款。
2019-09-19,自109年1月1日起，本平台調整消費者之「消費資訊」寄送週期,一、本平台消費者之寄送「消費資訊」功能，原設定「每周寄送」者，自109年1月1日起統一改為「每月寄送」。二、歡迎使用財政部統一發票兌獎APP，查詢手機條碼及其歸戶載具所儲存之消費發票。
2019-07-15,﻿﻿受捐贈團體「財團法人台灣兒童暨家庭扶助基金會」停用捐贈碼(463558、8455)通知,1．受捐贈團體「財團法人台灣兒童暨家庭扶助基金會附設苗栗縣私立家扶希望學園」停用捐贈碼「463558」。2．受捐贈團體「財團法人台灣兒童暨家庭扶助基金會附設台中市私立家扶希望學園」停用捐贈碼「8455」。3．消費者如於電子發票整合服務平台以載具預設設定前述捐贈碼已配合解除設定。
